Tanggal,DKI Jakarta,Pasar Glodok,Pasar Senen Blok III - VI,Pasar Minggu,Pasar Kramat Jati,Pasar Sunter Podomoro
23-Mei-22,14394,14500,14500,15000,14000,14000
24-Mei-22,14394,14500,14500,15000,14000,14000
25-Mei-22,14436,14500,14500,15000,14000,14000
26-Mei-22,14415,14500,14500,15000,14000,14000
27-Mei-22,14394,14500,14500,15000,14000,14000
28-Mei-22,14415,14500,14500,15000,14000,14000
29-Mei-22,14415,14500,14500,15000,14000,14000
30-Mei-22,14394,14500,14500,15000,14000,14000
31-Mei-22,14457,14500,14500,15000,14000,14000
1-Jun-22,14372,14500,14500,15000,14000,14000
2-Jun-22,14351,14500,14500,15000,14000,14000
3-Jun-22,14394,14500,14500,15000,14000,14000
4-Jun-22,14415,14500,14500,15000,14000,14000
5-Jun-22,14372,14500,14500,15000,14000,14000
6-Jun-22,14426,14500,14500,15000,14000,14000
